subject,session,scan_id,condition,mean_abs_field,median_abs_field,std_field,p95_abs_field,n_voxels
sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,denoised,15.731440233336386,11.429413795471191,22.917523258471654,44.19205474853512,172495
sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,original,15.739286149452216,11.438920974731445,22.91890322826945,44.19392280578611,172495
sub-14230,ses-OXF3TRI002,sub-14230_ses-OXF3TRI002,denoised,16.644735376719375,11.665875434875488,24.459213929557823,48.80853424072253,172217
sub-14230,ses-OXF3TRI002,sub-14230_ses-OXF3TRI002,original,16.653834746155265,11.676774978637695,24.45723402337801,48.806114959716794,172217
sub-14230,ses-OXF3TRI003,sub-14230_ses-OXF3TRI003,denoised,17.246283036352157,12.101434707641602,25.38399282747175,49.94194526672359,172735
sub-14230,ses-OXF3TRI003,sub-14230_ses-OXF3TRI003,original,17.243483597434548,12.088237762451172,25.389349613419224,49.960100555419835,172735
sub-14230,ses-OXF3TRI004,sub-14230_ses-OXF3TRI004,denoised,16.280450145915765,11.449874877929688,23.951294109114357,47.70386199951171,173077
sub-14230,ses-OXF3TRI004,sub-14230_ses-OXF3TRI004,original,16.283973287258316,11.456957817077637,23.942697391541863,47.71146392822265,173077
sub-14230,ses-OXF3TRI005,sub-14230_ses-OXF3TRI005,denoised,17.451852435358564,12.064187049865723,25.76265034617972,51.971484375000024,172319
sub-14230,ses-OXF3TRI005,sub-14230_ses-OXF3TRI005,original,17.448372460232683,12.052157402038574,25.7513334075375,51.992120742797866,172319
sub-14230,ses-OXF3TRI006,sub-14230_ses-OXF3TRI006,denoised,16.99529792902352,11.992488861083984,25.54337064747258,49.69719238281249,172800
sub-14230,ses-OXF3TRI006,sub-14230_ses-OXF3TRI006,original,16.992830513485462,11.99018669128418,25.528917130940638,49.70621147155758,172800
